E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2,2.2,-90,-73.74,0
2.2,2.4,-90,-73.74,0
2.4,2.6,-90,-73.74,0
2.6,2.8,-90,-73.74,0
2.8,3,-90,-73.74,0
3,3.2,-90,-73.74,0
3.2,3.4,-90,-73.74,0
3.4,3.6,-90,-73.74,0
3.6,3.8,-90,-73.74,0
3.8,4,-90,-73.74,0
4,4.2,-90,-73.74,0
4.2,4.4,-90,-73.74,0
4.4,4.6,-90,-73.74,0
4.6,4.8,-90,-73.74,0
4.8,5,-90,-73.74,0
5,5.2,-90,-73.74,0
5.2,5.4,-90,-73.74,1132.71
5.4,5.6,-90,-73.74,2236.67
5.6,5.8,-90,-73.74,12508.98
5.8,6,-90,-73.74,35388.76
6,6.2,-90,-73.74,86754.22
6.2,6.4,-90,-73.74,198478.3
6.4,6.6,-90,-73.74,376096.68
6.6,6.8,-90,-73.74,544950.04
6.8,7,-90,-73.74,830807.08
7,7.2,-90,-73.74,993405.7
7.2,7.4,-90,-73.74,1225245.8
7.4,7.6,-90,-73.74,1415589.26
7.6,7.8,-90,-73.74,1633582.75
7.8,8,-90,-73.74,1671608.42
8,8.2,-90,-73.74,1478340.89
8.2,8.4,-90,-73.74,1226410.06
8.4,8.6,-90,-73.74,1002361.48
8.6,8.8,-90,-73.74,770998.95
8.8,9,-90,-73.74,668672.51
9,9.2,-90,-73.74,445932.32
9.2,9.4,-90,-73.74,422873.57
9.4,9.6,-90,-73.74,388628.31
9.6,9.8,-90,-73.74,287076.56
9.8,10,-90,-73.74,168835.56
2,2.2,-73.74,-66.93,0
2.2,2.4,-73.74,-66.93,0
2.4,2.6,-73.74,-66.93,0
2.6,2.8,-73.74,-66.93,0
2.8,3,-73.74,-66.93,0
3,3.2,-73.74,-66.93,0
3.2,3.4,-73.74,-66.93,0
3.4,3.6,-73.74,-66.93,0
3.6,3.8,-73.74,-66.93,0
3.8,4,-73.74,-66.93,0
4,4.2,-73.74,-66.93,0
4.2,4.4,-73.74,-66.93,0
4.4,4.6,-73.74,-66.93,0
4.6,4.8,-73.74,-66.93,0
4.8,5,-73.74,-66.93,0
5,5.2,-73.74,-66.93,126.73
5.2,5.4,-73.74,-66.93,1484.98
5.4,5.6,-73.74,-66.93,5634.01
5.6,5.8,-73.74,-66.93,17953.87
5.8,6,-73.74,-66.93,46651.61
6,6.2,-73.74,-66.93,111364.5
6.2,6.4,-73.74,-66.93,274237.52
6.4,6.6,-73.74,-66.93,435115
6.6,6.8,-73.74,-66.93,632455.13
6.8,7,-73.74,-66.93,924251.32
7,7.2,-73.74,-66.93,1098512.42
7.2,7.4,-73.74,-66.93,1257085.98
7.4,7.6,-73.74,-66.93,1506695.48
7.6,7.8,-73.74,-66.93,1599262.76
7.8,8,-73.74,-66.93,1833570.22
8,8.2,-73.74,-66.93,1669699.59
8.2,8.4,-73.74,-66.93,1223314.8
8.4,8.6,-73.74,-66.93,942866.48
8.6,8.8,-73.74,-66.93,700424.18
8.8,9,-73.74,-66.93,355515.6
9,9.2,-73.74,-66.93,410918.13
9.2,9.4,-73.74,-66.93,402450.98
9.4,9.6,-73.74,-66.93,263433.01
9.6,9.8,-73.74,-66.93,179180.34
9.8,10,-73.74,-66.93,234661.69
2,2.2,-66.93,-61.64,0
2.2,2.4,-66.93,-61.64,0
2.4,2.6,-66.93,-61.64,0
2.6,2.8,-66.93,-61.64,0
2.8,3,-66.93,-61.64,0
3,3.2,-66.93,-61.64,0
3.2,3.4,-66.93,-61.64,0
3.4,3.6,-66.93,-61.64,0
3.6,3.8,-66.93,-61.64,0
3.8,4,-66.93,-61.64,0
4,4.2,-66.93,-61.64,0
4.2,4.4,-66.93,-61.64,0
4.4,4.6,-66.93,-61.64,0
4.6,4.8,-66.93,-61.64,0
4.8,5,-66.93,-61.64,0
5,5.2,-66.93,-61.64,344.39
5.2,5.4,-66.93,-61.64,1372.54
5.4,5.6,-66.93,-61.64,9140.87
5.6,5.8,-66.93,-61.64,18554.44
5.8,6,-66.93,-61.64,52503.47
6,6.2,-66.93,-61.64,132139.08
6.2,6.4,-66.93,-61.64,301092.88
6.4,6.6,-66.93,-61.64,508511.9
6.6,6.8,-66.93,-61.64,728628.68
6.8,7,-66.93,-61.64,996200.08
7,7.2,-66.93,-61.64,1315495.54
7.2,7.4,-66.93,-61.64,1458978.38
7.4,7.6,-66.93,-61.64,1603563.38
7.6,7.8,-66.93,-61.64,1843221.8
7.8,8,-66.93,-61.64,1772051.03
8,8.2,-66.93,-61.64,1683086.36
8.2,8.4,-66.93,-61.64,1337173.63
8.4,8.6,-66.93,-61.64,1212705.34
8.6,8.8,-66.93,-61.64,793204.5
8.8,9,-66.93,-61.64,576585.33
9,9.2,-66.93,-61.64,422474.1
9.2,9.4,-66.93,-61.64,315971.15
9.4,9.6,-66.93,-61.64,264933.45
9.6,9.8,-66.93,-61.64,159716.55
9.8,10,-66.93,-61.64,61915.68
2,2.2,-61.64,-57.14,0
2.2,2.4,-61.64,-57.14,0
2.4,2.6,-61.64,-57.14,0
2.6,2.8,-61.64,-57.14,0
2.8,3,-61.64,-57.14,0
3,3.2,-61.64,-57.14,0
3.2,3.4,-61.64,-57.14,0
3.4,3.6,-61.64,-57.14,0
3.6,3.8,-61.64,-57.14,0
