E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2,2.2,-90,-73.74,0
2.2,2.4,-90,-73.74,0
2.4,2.6,-90,-73.74,0
2.6,2.8,-90,-73.74,0.01
2.8,3,-90,-73.74,0
3,3.2,-90,-73.74,0
3.2,3.4,-90,-73.74,0
3.4,3.6,-90,-73.74,0
3.6,3.8,-90,-73.74,1.59
3.8,4,-90,-73.74,0
4,4.2,-90,-73.74,0
4.2,4.4,-90,-73.74,38.72
4.4,4.6,-90,-73.74,502.67
4.6,4.8,-90,-73.74,2717.25
4.8,5,-90,-73.74,12138.18
5,5.2,-90,-73.74,38937.84
5.2,5.4,-90,-73.74,104315.44
5.4,5.6,-90,-73.74,220672.65
5.6,5.8,-90,-73.74,408528.53
5.8,6,-90,-73.74,638076.21
6,6.2,-90,-73.74,913666.1
6.2,6.4,-90,-73.74,1243496.42
6.4,6.6,-90,-73.74,1688210.32
6.6,6.8,-90,-73.74,2215859.74
6.8,7,-90,-73.74,2860480.66
7,7.2,-90,-73.74,3800378.78
7.2,7.4,-90,-73.74,4596104.33
7.4,7.6,-90,-73.74,5652470.16
7.6,7.8,-90,-73.74,7048340.72
7.8,8,-90,-73.74,8355601.97
8,8.2,-90,-73.74,9995203.09
8.2,8.4,-90,-73.74,11590898.75
8.4,8.6,-90,-73.74,13776945.68
8.6,8.8,-90,-73.74,16423822.51
8.8,9,-90,-73.74,18607167.84
9,9.2,-90,-73.74,0
9.2,9.4,-90,-73.74,0
9.4,9.6,-90,-73.74,0
9.6,9.8,-90,-73.74,0
9.8,10,-90,-73.74,0
2,2.2,-73.74,-66.93,0
2.2,2.4,-73.74,-66.93,0
2.4,2.6,-73.74,-66.93,0
2.6,2.8,-73.74,-66.93,0
2.8,3,-73.74,-66.93,0
3,3.2,-73.74,-66.93,0
3.2,3.4,-73.74,-66.93,0
3.4,3.6,-73.74,-66.93,0.17
3.6,3.8,-73.74,-66.93,0.5
3.8,4,-73.74,-66.93,0.82
4,4.2,-73.74,-66.93,0
4.2,4.4,-73.74,-66.93,4.08
4.4,4.6,-73.74,-66.93,92.24
4.6,4.8,-73.74,-66.93,717.63
4.8,5,-73.74,-66.93,3825.51
5,5.2,-73.74,-66.93,17123.13
5.2,5.4,-73.74,-66.93,58416.18
5.4,5.6,-73.74,-66.93,147069.83
5.6,5.8,-73.74,-66.93,316056.77
5.8,6,-73.74,-66.93,549391.74
6,6.2,-73.74,-66.93,844107.69
6.2,6.4,-73.74,-66.93,1208280.32
6.4,6.6,-73.74,-66.93,1674857.16
6.6,6.8,-73.74,-66.93,2228498.93
6.8,7,-73.74,-66.93,2940557.96
7,7.2,-73.74,-66.93,3891274.59
7.2,7.4,-73.74,-66.93,4893096.13
7.4,7.6,-73.74,-66.93,5971005.09
7.6,7.8,-73.74,-66.93,7107192.57
7.8,8,-73.74,-66.93,8749765.23
8,8.2,-73.74,-66.93,10013178.29
8.2,8.4,-73.74,-66.93,12948979.44
8.4,8.6,-73.74,-66.93,14898807.91
8.6,8.8,-73.74,-66.93,17039911.78
8.8,9,-73.74,-66.93,20004762.4
9,9.2,-73.74,-66.93,0
9.2,9.4,-73.74,-66.93,0
9.4,9.6,-73.74,-66.93,0
9.6,9.8,-73.74,-66.93,0
9.8,10,-73.74,-66.93,0
2,2.2,-66.93,-61.64,0
2.2,2.4,-66.93,-61.64,0
2.4,2.6,-66.93,-61.64,0
2.6,2.8,-66.93,-61.64,0
2.8,3,-66.93,-61.64,0.02
3,3.2,-66.93,-61.64,0
3.2,3.4,-66.93,-61.64,0
3.4,3.6,-66.93,-61.64,0.84
3.6,3.8,-66.93,-61.64,0
3.8,4,-66.93,-61.64,0
4,4.2,-66.93,-61.64,0
4.2,4.4,-66.93,-61.64,0
4.4,4.6,-66.93,-61.64,32.3
4.6,4.8,-66.93,-61.64,388.69
4.8,5,-66.93,-61.64,2585.63
5,5.2,-66.93,-61.64,11351.33
5.2,5.4,-66.93,-61.64,44422.92
5.4,5.6,-66.93,-61.64,130759.14
5.6,5.8,-66.93,-61.64,273441.59
5.8,6,-66.93,-61.64,514243.08
6,6.2,-66.93,-61.64,808272.38
6.2,6.4,-66.93,-61.64,1174504.29
6.4,6.6,-66.93,-61.64,1689175.12
6.6,6.8,-66.93,-61.64,2327773.7
6.8,7,-66.93,-61.64,3008584.23
7,7.2,-66.93,-61.64,3816374.83
7.2,7.4,-66.93,-61.64,5012576.7
7.4,7.6,-66.93,-61.64,6487423.67
7.6,7.8,-66.93,-61.64,6875646.71
7.8,8,-66.93,-61.64,8834587.6
8,8.2,-66.93,-61.64,11155575.15
8.2,8.4,-66.93,-61.64,12673846.47
8.4,8.6,-66.93,-61.64,16170249.6
8.6,8.8,-66.93,-61.64,17289348.84
8.8,9,-66.93,-61.64,21792354.35
9,9.2,-66.93,-61.64,0
9.2,9.4,-66.93,-61.64,0
9.4,9.6,-66.93,-61.64,0
9.6,9.8,-66.93,-61.64,0
9.8,10,-66.93,-61.64,0
2,2.2,-61.64,-57.14,0
2.2,2.4,-61.64,-57.14,0
2.4,2.6,-61.64,-57.14,0
2.6,2.8,-61.64,-57.14,0
2.8,3,-61.64,-57.14,0
3,3.2,-61.64,-57.14,0
3.2,3.4,-61.64,-57.14,0
3.4,3.6,-61.64,-57.14,0
