E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2,2.2,-90,-73.74,0
2.2,2.4,-90,-73.74,0
2.4,2.6,-90,-73.74,0
2.6,2.8,-90,-73.74,0
2.8,3,-90,-73.74,0
3,3.2,-90,-73.74,0
3.2,3.4,-90,-73.74,0
3.4,3.6,-90,-73.74,0
3.6,3.8,-90,-73.74,0
3.8,4,-90,-73.74,0
4,4.2,-90,-73.74,0
4.2,4.4,-90,-73.74,351.26
4.4,4.6,-90,-73.74,3280.22
4.6,4.8,-90,-73.74,8971.34
4.8,5,-90,-73.74,26572.45
5,5.2,-90,-73.74,67474.74
5.2,5.4,-90,-73.74,155474.43
5.4,5.6,-90,-73.74,301646.11
5.6,5.8,-90,-73.74,499757.67
5.8,6,-90,-73.74,757022.75
6,6.2,-90,-73.74,1061215.15
6.2,6.4,-90,-73.74,1415989.07
6.4,6.6,-90,-73.74,2033906.79
6.6,6.8,-90,-73.74,2526824
6.8,7,-90,-73.74,3117189.52
7,7.2,-90,-73.74,4009730.7
7.2,7.4,-90,-73.74,4829783.05
7.4,7.6,-90,-73.74,6353185.25
7.6,7.8,-90,-73.74,7602014.55
7.8,8,-90,-73.74,9421122.13
8,8.2,-90,-73.74,11625095.06
8.2,8.4,-90,-73.74,13674660.06
8.4,8.6,-90,-73.74,16093840.65
8.6,8.8,-90,-73.74,20166929.78
8.8,9,-90,-73.74,23260954.05
9,9.2,-90,-73.74,0
9.2,9.4,-90,-73.74,0
9.4,9.6,-90,-73.74,0
9.6,9.8,-90,-73.74,0
9.8,10,-90,-73.74,0
2,2.2,-73.74,-66.93,0
2.2,2.4,-73.74,-66.93,0
2.4,2.6,-73.74,-66.93,0
2.6,2.8,-73.74,-66.93,0
2.8,3,-73.74,-66.93,0
3,3.2,-73.74,-66.93,0
3.2,3.4,-73.74,-66.93,0
3.4,3.6,-73.74,-66.93,0
3.6,3.8,-73.74,-66.93,0
3.8,4,-73.74,-66.93,0
4,4.2,-73.74,-66.93,0
4.2,4.4,-73.74,-66.93,231.95
4.4,4.6,-73.74,-66.93,1830.45
4.6,4.8,-73.74,-66.93,7489.75
4.8,5,-73.74,-66.93,21537.87
5,5.2,-73.74,-66.93,49183.11
5.2,5.4,-73.74,-66.93,125089.53
5.4,5.6,-73.74,-66.93,250316.88
5.6,5.8,-73.74,-66.93,473999.19
5.8,6,-73.74,-66.93,755012.45
6,6.2,-73.74,-66.93,1085169.24
6.2,6.4,-73.74,-66.93,1484605.8
6.4,6.6,-73.74,-66.93,2029690.47
6.6,6.8,-73.74,-66.93,2599457.62
6.8,7,-73.74,-66.93,3275433.36
7,7.2,-73.74,-66.93,4449955.4
7.2,7.4,-73.74,-66.93,5427741.8
7.4,7.6,-73.74,-66.93,6480586.09
7.6,7.8,-73.74,-66.93,8357343.81
7.8,8,-73.74,-66.93,9715767.9
8,8.2,-73.74,-66.93,11491855.32
8.2,8.4,-73.74,-66.93,13959091.55
8.4,8.6,-73.74,-66.93,16703939.26
8.6,8.8,-73.74,-66.93,19667921.38
8.8,9,-73.74,-66.93,23198552.24
9,9.2,-73.74,-66.93,0
9.2,9.4,-73.74,-66.93,0
9.4,9.6,-73.74,-66.93,0
9.6,9.8,-73.74,-66.93,0
9.8,10,-73.74,-66.93,0
2,2.2,-66.93,-61.64,0
2.2,2.4,-66.93,-61.64,0
2.4,2.6,-66.93,-61.64,0
2.6,2.8,-66.93,-61.64,0
2.8,3,-66.93,-61.64,0
3,3.2,-66.93,-61.64,0
3.2,3.4,-66.93,-61.64,0
3.4,3.6,-66.93,-61.64,0
3.6,3.8,-66.93,-61.64,0
3.8,4,-66.93,-61.64,0
4,4.2,-66.93,-61.64,0
4.2,4.4,-66.93,-61.64,44.77
4.4,4.6,-66.93,-61.64,1741.59
4.6,4.8,-66.93,-61.64,6046.47
4.8,5,-66.93,-61.64,16846.81
5,5.2,-66.93,-61.64,40844.38
5.2,5.4,-66.93,-61.64,107411.21
5.4,5.6,-66.93,-61.64,245957.49
5.6,5.8,-66.93,-61.64,466962.56
5.8,6,-66.93,-61.64,727928.63
6,6.2,-66.93,-61.64,1091910.43
6.2,6.4,-66.93,-61.64,1488038.42
6.4,6.6,-66.93,-61.64,1976443.64
6.6,6.8,-66.93,-61.64,2762307.93
6.8,7,-66.93,-61.64,3408858.72
7,7.2,-66.93,-61.64,4443191.92
7.2,7.4,-66.93,-61.64,5505828.11
7.4,7.6,-66.93,-61.64,6710917.97
7.6,7.8,-66.93,-61.64,8612874.48
7.8,8,-66.93,-61.64,10239697.59
8,8.2,-66.93,-61.64,11816338.56
8.2,8.4,-66.93,-61.64,14448613.98
8.4,8.6,-66.93,-61.64,16702713.15
8.6,8.8,-66.93,-61.64,19228966.16
8.8,9,-66.93,-61.64,21721585.16
9,9.2,-66.93,-61.64,0
9.2,9.4,-66.93,-61.64,0
9.4,9.6,-66.93,-61.64,0
9.6,9.8,-66.93,-61.64,0
9.8,10,-66.93,-61.64,0
2,2.2,-61.64,-57.14,0
2.2,2.4,-61.64,-57.14,0
2.4,2.6,-61.64,-57.14,0
2.6,2.8,-61.64,-57.14,0
2.8,3,-61.64,-57.14,0
3,3.2,-61.64,-57.14,0
3.2,3.4,-61.64,-57.14,0
3.4,3.6,-61.64,-57.14,0
